order_id,customer_id,order_date,total_amount
1,8,2025-09-20 13:29:13,1495.00
2,46,2025-05-23 06:21:13,4491.00
3,54,2025-06-26 12:04:13,3841.00
4,36,2024-11-17 23:29:13,799.00
5,57,2024-11-26 08:30:13,1797.00
6,38,2025-02-05 08:37:13,646.00
7,58,2025-05-15 06:21:13,1244.00
8,57,2025-04-19 17:17:13,1796.00
9,52,2025-08-16 00:03:13,2693.00
10,52,2024-12-06 13:13:13,897.00
11,25,2025-10-25 21:50:13,2993.00
12,53,2025-07-21 06:03:13,1196.00
13,50,2025-06-25 01:23:13,5936.00
14,17,2025-10-26 09:26:13,4636.00
15,13,2025-07-07 11:19:13,4034.00
16,5,2024-12-09 02:25:13,4143.00
17,43,2025-04-19 02:39:13,4490.00
18,44,2025-08-16 17:28:13,3141.00
19,14,2025-04-07 18:26:13,4090.00
20,51,2025-08-19 15:59:13,5492.00
21,44,2025-06-09 05:13:13,1097.00
22,31,2025-01-06 10:35:13,7135.00
23,42,2024-11-27 12:07:13,2396.00
24,15,2025-08-15 14:31:13,2838.00
25,43,2025-02-15 19:26:13,5636.00
26,29,2025-08-24 13:09:13,6437.00
27,32,2024-12-29 05:47:13,4186.00
28,6,2025-09-05 08:50:13,3239.00
29,35,2025-03-21 00:01:13,3891.00
30,45,2025-11-03 18:40:13,5284.00
31,52,2025-01-10 05:33:13,1695.00
32,25,2025-05-25 15:21:13,5487.00
33,2,2025-04-26 18:28:13,996.00
34,9,2025-03-23 08:01:13,4990.00
35,49,2025-05-04 04:16:13,3740.00
36,15,2024-12-17 10:15:13,599.00
37,16,2025-08-04 12:25:13,1697.00
38,37,2025-07-25 22:20:13,4091.00
39,50,2025-08-23 03:58:13,897.00
40,37,2024-12-03 00:39:13,1843.00
41,7,2024-11-23 03:10:13,1495.00
42,51,2025-10-24 01:30:13,4035.00
43,53,2025-03-09 09:37:13,2692.00
44,47,2025-02-19 16:47:13,5686.00
45,54,2025-10-01 04:08:13,4936.00
46,32,2025-06-01 07:33:13,1494.00
47,57,2025-01-12 14:08:13,2245.00
48,47,2025-04-19 21:29:13,2592.00
49,29,2025-11-06 10:46:13,2343.00
50,24,2025-03-16 19:31:13,3838.00
51,18,2025-06-11 04:50:13,998.00
52,21,2025-09-13 13:30:13,3594.00
53,18,2025-01-16 20:26:13,2694.00
54,20,2025-11-06 14:30:13,1044.00
55,19,2024-11-22 08:24:13,3989.00
56,12,2025-10-19 04:09:13,3589.00
57,10,2025-08-29 18:45:13,599.00
58,36,2025-04-14 17:26:13,4191.00
59,59,2025-04-02 03:09:13,3541.00
60,41,2025-07-29 04:22:13,798.00
61,12,2025-02-05 10:54:13,1396.00
62,45,2025-01-13 21:46:13,1797.00
63,46,2025-06-22 14:09:13,3388.00
64,28,2025-09-16 19:50:13,2095.00
65,5,2025-10-15 07:14:13,2541.00
66,30,2024-11-27 03:20:13,2539.00
67,57,2025-04-06 13:44:13,3493.00
68,49,2024-12-05 04:28:13,1198.00
69,31,2025-02-21 16:36:13,4387.00
70,23,2025-04-19 02:44:13,1198.00
71,22,2025-04-17 14:33:13,4587.00
72,6,2025-06-06 04:44:13,2396.00
73,56,2025-02-24 12:22:13,7735.00
74,41,2025-04-02 11:51:13,1791.00
75,8,2025-10-30 16:26:13,2343.00
76,1,2025-02-04 23:59:13,748.00
77,42,2025-08-27 21:05:13,4791.00
78,30,2025-02-05 08:40:13,3093.00
79,56,2025-10-10 04:15:13,5836.00
80,38,2024-12-11 21:09:13,2242.00
81,22,2025-02-04 19:40:13,3689.00
82,15,2025-04-18 11:44:13,6288.00
83,38,2025-05-29 09:09:13,6387.00
84,5,2025-03-19 04:43:13,6038.00
85,41,2025-03-09 20:02:13,1797.00
86,15,2025-09-28 23:58:13,298.00
87,45,2025-06-14 13:02:13,2142.00
88,10,2025-07-11 20:38:13,2043.00
89,56,2025-05-02 17:21:13,4093.00
90,30,2024-12-23 04:35:13,1292.00
91,44,2025-02-08 08:00:13,3735.00
92,13,2025-05-01 21:58:13,2490.00
93,19,2024-11-21 04:03:13,4039.00
94,54,2025-06-21 05:26:13,2593.00
95,41,2025-09-25 16:23:13,1396.00
96,3,2025-01-22 01:18:13,1943.00
97,12,2025-08-04 08:14:13,6090.00
98,17,2025-03-13 03:17:13,2046.00
99,56,2024-12-02 13:21:13,5137.00
100,35,2025-09-11 22:41:13,4391.00
101,31,2025-11-01 17:08:13,3490.00
102,59,2024-11-21 03:23:13,3942.00
103,16,2025-02-12 08:40:13,4334.00
104,42,2025-09-24 21:25:13,4690.00
105,55,2025-05-13 09:21:13,1641.00
106,8,2025-03-27 10:22:13,1994.00
107,51,2025-05-28 05:56:13,5240.00
108,14,2025-07-18 02:15:13,2242.00
109,55,2025-09-01 08:30:13,2196.00
110,23,2025-07-15 18:44:13,1197.00
111,4,2025-09-10 13:38:13,499.00
112,31,2025-03-30 01:32:13,745.00
113,15,2025-01-04 11:18:13,3141.00
114,28,2024-11-28 09:33:13,4940.00
115,40,2024-12-24 18:29:13,4637.00
116,39,2025-04-08 09:14:13,2995.00
117,47,2025-07-26 23:36:13,3443.00
118,26,2025-04-15 13:58:13,2192.00
119,44,2025-03-17 10:59:13,996.00
120,7,2025-05-08 08:29:13,1245.00
